vehicle_type,capacity,avail_cities,perday_rental,perkm_charge,max_km_perday
Indica A/C,3,2\14\47\56\4\62,2425\1050\1800\2700\1350\2525,8\5.5\11\10\6\8.5,225\0\150\200\250\250
Indigo A/C,4,2\14\47\56\4\62,2525\1300\1700\2900\1400\2650,9\6\11\11\6\9,225\0\100\200\250\250
Swift Dzire A/C,4,2\14\47\56\4\62,2625\1500\1750\3000\1500\2775,10\6.5\11\11.5\6.5\9.5,225\0\100\200\250\250
Etios A/C,4,2\14\47\56\4\62,2625\1500\1800\3000\1500\2775,10\6.5\11\11.5\6.5\9.5,225\0\100\200\250\250
Tavera A/C,6,2\14\47\56\4\62,2985\1550\1800\3100\2100\3150,11\6.5\12\12\6.5\11,225\0\100\200\250\250
Innova A/C,6,2\14\47\56\4\62,3085\1600\2150\3500\2050\3400,12\7\15\14\7\12,225\0100\200\250\250
Tempo Traveller (12 Seated),11,2\14\47\56\4\62,3637\2000\3150\3500\2450\4375,14\7.5\15\17\11\15.5,225\0\100\200\250\250
Tempo Traveller (17 Seated),17,47\56,3450\4700,17\19,100\200
Tempo Traveller (26 Seated),25,47,5900,26,80
Mini Coach (21 Seated),20,2,8500,40,200
Luxury Coach (35 Seated),34,2,11500,55,200
Volvo,44,2,15500,75,200
