Hotel name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(08th Aug to 30th Sep),Season2 (01st Oct to 24th Oct),Season3 (25th Oct to 10th Nov),Season4 (11th Nov to 19th Dec),Season5 (20th Dec to 23rd Dec),Season6(24th Dec ),Season7(25th Dec to 30th Dec ),Season8 (31st Dec ),Season9 (01st Jan to 10th Jan)
Fortune Select Trinity,"134-136, ITPL Main Rd, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066, Phone:080 3988 4444",62,4STAR,Standard Ac Room\Fortune Club Ac Room,800\800\800\800\800\800\800\800\800,850\850\850\850\850\850\850\850\850,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0
Fortune Select Jp Cosmos,"No. 49, Cunningham Crescent Road, Behind Sigma Mall, Bengaluru, Karnataka 560052, Phone:080 3988 4422",62,4STAR,Standard Ac Room\Fortune Club Ac Room,750\750\750\750\750\750\750\750\750,750\750\750\750\750\750\750\750\750,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0,6000\7000\0\0\0\0\0\0\0
Fortune Park JP Celestial,"5/43, Race Course Rd, Gandhi Nagar, Bengaluru, Karnataka 560009 Phone: 080 3988 4433",62,3STAR,Standard Ac Room\Fortune Club Ac Room,550\550\550\550\550\550\550\550\550,650\650\650\650\650\650\650\650\650,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0
My Fortune,"46, Richmond Road, Ashok Nagar, Bengaluru, Karnataka 560025 Phone: 080 2500 1700",62,4STAR,Standard Ac Room\Fortune Club Ac Room,850\850\850\850\850\850\850\850\850,850\850\850\850\850\850\850\850\850,1500\1500\1500\1500\1500\1500\1500\1500\1500,800\800\800\800\800\800\800\800\800,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0,7500\8500\0\0\0\0\0\0\0
Ramada,"11, Park Road, Swamy Shivanandapuram, Shivaji Nagar, Shivaji Nagar, Bengaluru, Karnataka 560051  Phone 080 2286 5566",62,3STAR,Deluxe,450\450\450\450\450\450\450\450\450,500\500\500\500\500\500\500\500\500,1100\1100\1100\1100\1100\1100\1100\1100\1100,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0,4000\0\0\0\0\0\0\0\0
Royal Orchid Suites,"Annexe of Vaswani Pinnacle, Nr. Forum Value Mall, Whitefield Main Road, Whitefield, Bengaluru, Karnataka 560066 Phone: 080 4127 6667",62,4STAR,Studio Room \Executive Suite,550\550\550\550\550\550\550\550\550,650\650\650\650\650\650\650\650\650,1100\1100\1100\1100\1100\1100\1100\1100\1100,550\550\550\550\550\550\550\550\550,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0,4500\5500\0\0\0\0\0\0\0
Royal Orchid Resort,"Bellary Road, Allasandra, Yelahanka, Near Jakkur Flying Club, Allalasandra, Bengaluru, Karnataka 560065  Phone :080 2856 0668",62,3STAR,Deluxe,600\600\600\600\600\600\600\600\600,700\700\700\700\700\700\700\700\700,1100\1100\1100\1100\1100\1100\1100\1100\1100,550\550\550\550\550\550\550\550\550,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0,5500\0\0\0\0\0\0\0\0
Royal orched central ,"47, Dickenson Rd, FM Cariappa Colony, Sivanchetti Gardens, Bengaluru, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560001 phone: 08025325021",62,4STAR,Club Room,600\600\600\600\600\600\600\600\600,650\650\650\650\650\650\650\650\650,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0
Royal Orchid bangalore,1\ Golf Avenue\ Adjoining KGA Golf Course\ HAL Airport Rd\ Bengaluru\ Karnataka 560008\ Phone:080 4178 3000,62,3STAR,Deluxe\Royal Club\Executive,750\750\750\750\750\750\750\750\750,850\850\850\850\850\850\850\850\850,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0,6500\7500\9999\0\0\0\0\0\0
Hotel Magajiorchid,"No. 3, Nagappa Street, Near Swastik Circle, Seshadripuram, College Road, Opposite to Karnataka Bank, Bengaluru, Karnataka 560020",62,3STAR,Standard Double\Comfort Double,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
