Hotel name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(08th Aug to 30th Sep),Season2 (01st Oct to 24th Oct),Season3 (25th Oct to 10th Nov),Season4 (11th Nov to 19th Dec),Season5 (20th Dec to 23rd Dec),Season6(24th Dec ),Season7(25th Dec to 30th Dec ),Season8 (31st Dec ),Season9 (01st Jan to 10th Jan)
The president Jayanagar,"79/8, Diagonal Road, 3rd Block, Jayanagar, Bengaluru, Karnataka 560011 Phone: 080 4180 8777",62,3STAR,Comfort\Luxury\Studio,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0,4500\5600\7000\0\0\0\0\0\0\0
Pai Viceroy,"Jayanagar 3rd Block, Jaya Nagar East, Jayanagar, Bengaluru, Karnataka 560011",62,3STAR,Superior Ac Room\Executive Ac Room\Suite Ac Room,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0,3700\4000\5000\0\0\0\0\0\0
Pai comforts JP Nagar,"#1319, 100 Feet Road J.P. Nagar 2nd Phase, Bengaluru, Karnataka 560078, Phone:080 2649 4300",62,3STAR,Superior Ac Room\Deluxe Ac Room ,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0,2800\3200\0\0\0\0\0\0\0
Pai vaibhav hotel,"#19/A, H. Siddhaiah Road, Bangalore, Karnataka 560002, Phone:099809 0906",62,2STAR,Deluxe Ac Room\Suite Ac Room ,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0
Pai vista,"#3, 27th Cross, Banashankari 2nd Stage, Bengaluru, Karnataka 560070  Phone: 088920 77889",62,3STAR,Superior\Executive,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,968\968\968\968\968\968\968\968\968,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
