Hotel name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(08th Aug to 30th Sep),Season2 (01st Oct to 24th Oct),Season3 (25th Oct to 10th Nov),Season4 (11th Nov to 19th Dec),Season5 (20th Dec to 23rd Dec),Season6(24th Dec ),Season7(25th Dec to 30th Dec ),Season8 (31st Dec ),Season9 (01st Jan to 10th Jan)
Hotel Rockfort view,xx,35,2STAR,Executive\Premium Deluxe,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2300\2750\0\0\0\0\0\0\0,2300\2750\0\0\0\0\0\0\0,2300\2750\0\0\0\0\0\0\0,2300\2750\0\0\0\0\0\0\0,2300\2750\0\0\0\0\0\0\0,2300\2750\0\0\0\0\0\0\0,2300\2750\0\0\0\0\0\0\0,2300\2750\0\0\0\0\0\0\0,2300\2750\0\0\0\0\0\0\0
Heritage,xx,14,2STAR,Luxury Vila\Deluxe Club,850\850\850\850\850\850\850\850\850,850\850\850\850\850\850\850\850\850,1500\1500\1500\1500\4000\1500\5500\1500\1500,1000\1000\1000\1000\2250\1000\3000\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6800\10000\0\0\0\0\0\0\0,6800\10000\0\0\0\0\0\0\0,6800\10000\0\0\0\0\0\0\0,6800\10000\0\0\0\0\0\0\0,8800\12300\0\0\0\0\0\0\0,13800\17300\0\0\0\0\0\0\0,8800\12300\0\0\0\0\0\0\0,16800\20300\0\0\0\0\0\0\0,8800\12300\0\0\0\0\0\0\0
Hotel  Germanus,xx,14,3STAR,Standard\Deluxe\Suite,600\600\600\600\600\600\600\600\600,600\600\600\600\600\600\600\600\600,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4250\4750\7500\0\0\0\0\0\0,4250\4750\7500\0\0\0\0\0\0,4250\4750\7500\0\0\0\0\0\0,4250\4750\7500\0\0\0\0\0\0,4250\4750\7500\0\0\0\0\0\0,4250\4750\7500\0\0\0\0\0\0,4250\4750\7500\0\0\0\0\0\0,4250\4750\7500\0\0\0\0\0\0,4250\4750\7500\0\0\0\0\0\0
STAR Residency,xx,14,3STAR,Premium\Executive,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,800\800\800\800\800\800\800\800\800,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0
Purpletree Palace West Marret,xx,14,4STAR,Deluxe\Club,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,700\700\700\700\700\700\700\700\700,350\350\350\350\350\350\350\350\350,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2500\3000\0\0\0\0\0\0\0,2500\3000\0\0\0\0\0\0\0,2500\3000\0\0\0\0\0\0\0,2500\3000\0\0\0\0\0\0\0,2500\3000\0\0\0\0\0\0\0,2500\3000\0\0\0\0\0\0\0,2500\3000\0\0\0\0\0\0\0,2500\3000\0\0\0\0\0\0\0,2500\3000\0\0\0\0\0\0\0
Madurai Residency,xx,14,3STAR,Premier Deluxe,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,750\750\750\750\750\750\750\750\750,750\750\750\750\750\750\750\750\750,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0
Star Residency,xx,14,4STAR,Premium\Executive,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,800\800\800\800\800\800\800\800\800,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0
JC residency,xx,14,4STAR,Executive Ac Room \Royal Suite,550\550\550\550\550\550\550\550\550,550\550\550\550\550\550\550\550\550,1010\1010\1010\1010\1010\1010\1010\1010\1010,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0,2920\5050\0\0\0\0\0\0\0
Fortune Pandian Hotel,xx,14,3STAR,Standard\Club Room,650\650\650\650\650\650\650\650\650,650\650\650\650\650\650\650\650\650,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4900\5700\0\0\0\0\0\0\0,4900\5700\0\0\0\0\0\0\0,4900\5700\0\0\0\0\0\0\0,4900\5700\0\0\0\0\0\0\0,4900\5700\0\0\0\0\0\0\0,4900\5700\0\0\0\0\0\0\0,4900\5700\0\0\0\0\0\0\0,4900\5700\0\0\0\0\0\0\0,4900\5700\0\0\0\0\0\0\0
Poppys Hotel,xx,14,4STAR,Executive Ac Room ,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,1000\1000\1000\1000\1000\1000\1000\1000\1000,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0
Hotel Astoria,xx,14,3STAR,Deluxe Ac Room,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,750\750\750\750\750\750\750\750\750,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0
MMR Gardens,xx,14,2STAR,Executive Ac Room,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0
Germanus hotel,xx,14,3STAR,Standard Ac Room\Deluxe Ac Room\Suite Ac Room,600\600\600\600\600\600\600\600\600,600\600\600\600\600\600\600\600\600,800\800\800\800\800\800\800\800\800,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3250\3750\7000\0\0\0\0\0\0,3250\3750\7000\0\0\0\0\0\0,3250\3750\7000\0\0\0\0\0\0,3250\3750\7000\0\0\0\0\0\0,3250\3750\7000\0\0\0\0\0\0,3250\3750\7000\0\0\0\0\0\0,3250\3750\7000\0\0\0\0\0\0,3250\3750\7000\0\0\0\0\0\0,3250\3750\7000\0\0\0\0\0\0
Hotel Annamalai international,xx,43,3STAR,Standard\Executive\King Suite\Annamalai Suite,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0,2800\5000\6000\8000\0\0\0\0\0
The windflower resort & spa,xx,43,4STAR,Garden View\Water View\Garden ViewSuite\suite-water View\Villa,650\650\650\650\650\650\650\650\650,650\650\650\650\650\650\650\650\650,1550\1550\1550\1800\1800\1800\3060\1800\1550,600\600\600\600\600\600\1020\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6205\6545\6970\7395\14875\0\0\0\0,6205\6545\6970\7395\14875\0\0\0\0,6205\6545\6970\7395\14875\0\0\0\0,6205\6545\6970\7395\14875\0\0\0\0,7300\7700\8200\8700\17500\0\0\0\0,7300\7700\8200\8700\17500\0\0\0\0,7300\7700\8200\8700\17500\0\0\0\0,12410\13090\13940\14790\29750,7300\7700\8200\8700\17500\0\0\0\0
Le Pondy,xx,43,4STAR,Lake View\Sea View\Luxury Pool Villas\presidential Pool Villas,800\800\800\800\800\800\800\800\800,800\800\800\800\800\800\800\800\800,1800\1800\1800\1800\4300\1800\6800\1800\1800,750\750\750\750\2000\750\3250\750\750,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6600\8100\13300\16000\0\0\0\0\0,6600\8100\13300\16000\0\0\0\0\0,6600\8100\13300\16000\0\0\0\0\0,6600\8100\13300\16000\0\0\0\0\0,8250\9700\15400\19250\0\0\0\0\0,11600\14700\20400\24250\0\0\0\0\0,8250\9700\15400\19250\0\0\0\0\0,13250\19700\25400\29250\0\0\0\0\0,8250\9700\15400\19250\0\0\0\0\0
Grand serana hotel & resort,xx,43,4STAR,Deluxe\Daffodil Villas\Marigold Grand Villa,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0,2500\3500\6500\0\0\0\0\0\0\0\0
Dune eco village & spa,xx,43,4STAR,Eco Cottages\Standard\ Suite,900\900\900\900\900\900\900\900\900,900\900\900\900\900\900\900\900\900,2000\2000\2000\2000\2000\2000\2000\2000\2000,1000\1000\1000\1000\1000\1000\1000\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4850\7040\10510\0\0\0\0\0\0
Accord pondicherry,xx,43,5STAR,Superior\Deluxe Suite,650\650\650\650\650\650\650\650\650,650\650\650\650\650\650\650\650\650,1000\1000\1000\1000\1000\1000\1000\1000\1000,1000\1000\1000\1000\1000\1000\1000\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4500\6500\0\0\0\0\0\0\0,4500\6500\0\0\0\0\0\0\0,4500\6500\0\0\0\0\0\0\0,4500\6500\0\0\0\0\0\0\0,4500\6500\0\0\0\0\0\0\0,4500\6500\0\0\0\0\0\0\0,4500\6500\0\0\0\0\0\0\0,4500\6500\0\0\0\0\0\0\0,4500\6500\0\0\0\0\0\0\0
Sunway Manor,xx,43,4STAR,Superior Ac Room\Executive Ac Room,700\700\700\700\700\700\700\700\700,700\700\700\700\700\700\700\700\700,1250\1250\1250\1250\1250\1250\1250\1250\1250,1250\1250\1250\1250\1250\1250\1250\1250\1250,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3400\3600\0\0\0\0\0\0\0,3400\3600\0\0\0\0\0\0\0,3400\3600\0\0\0\0\0\0\0,3400\3600\0\0\0\0\0\0\0,4400\4600\0\0\0\0\0\0\0,4400\4600\0\0\0\0\0\0\0,4400\4600\0\0\0\0\0\0\0,4400\4600\0\0\0\0\0\0\0,4400\4600\0\0\0\0\0\0\0
The Promenade Hotel,xx,43,4STAR,Deluxe non sea facing\Deluxe Sea Facing,710\710\710\710\710\710\710\710\710,710\710\710\710\710\710\710\710\710,1300\1300\1300\1635\5450\1635\5450\1635\1000,750\750\750\900\1000\900\1000\900\750,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6870\0\0\0\0\0\0\0\0\0,6870\0\0\0\0\0\0\0\0\0,6870\0\0\0\0\0\0\0\0\0,6870\0\0\0\0\0\0\0\0\0,9810\13080\0\0\0\0\0\0\0,17440\20710\0\0\0\0\0\0\0,9810\13080\0\0\0\0\0\0\0,17440\20710\0\0\0\0\0\0\0,9810\13080\0\0\0\0\0\0\0
Atithi Pondi hotel,xx,43,3STAR,Superior Ac Room\Executive Ac Room\Business Suite Ac Room\Family Suite,600\600\600\600\600\600\600\600\600,600\600\600\600\600\600\600\600\600,1200\1200\1200\1200\4200\1200\5200\1200\1200,1200\1200\1200\1200\4200\1200\5200\1200\1200,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0,9160\10000\10950\10950\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0,11160\12000\12950\12950\0\0\0\0\0,3160\4000\4950\4950\0\0\0\0\0
Green palace,xx,43,2STAR,Superior\Green Club\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,500\500\500\500\500\500\500\500\500,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1744\2010\3052\0\0\0\0\0\0,1744\2010\3052\0\0\0\0\0\0,1744\2010\3052\0\0\0\0\0\0,1744\2010\3052\0\0\0\0\0\0,1744\2010\3052\0\0\0\0\0\0,1744\2010\3052\0\0\0\0\0\0,1744\2010\3052\0\0\0\0\0\0,1744\2010\3052\0\0\0\0\0\0,1744\2010\3052\0\0\0\0\0\0
Sri Sabthagiri ,xx,43,2STAR,Deluxe A/c\Superior A/c,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,400\400\400\400\400\400\400\400\400,200\200\200\200\200\200\200\200\200,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1400\1900\0\0\0\0\0\0\0,1400\1900\0\0\0\0\0\0\0,1400\1900\0\0\0\0\0\0\0,1400\1900\0\0\0\0\0\0\0,1400\1900\0\0\0\0\0\0\0,1400\1900\0\0\0\0\0\0\0,1400\1900\0\0\0\0\0\0\0,1400\1900\0\0\0\0\0\0\0,1400\1900\0\0\0\0\0\0\0
Mass,xx,43,3STAR,Standard/Deluxe,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1500\1500\1500\1500\1500\1500\1500\1500\1500,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1500\2000\0\0\0\0\0\0\0,1500\2000\0\0\0\0\0\0\0,1500\2000\0\0\0\0\0\0\0,1500\2000\0\0\0\0\0\0\0,1500\2000\0\0\0\0\0\0\0,1500\2000\0\0\0\0\0\0\0,1500\2000\0\0\0\0\0\0\0,1500\2000\0\0\0\0\0\0\0,1500\2000\0\0\0\0\0\0\0
Ideal Beach Resort,xx,15,3STAR,Single\Double,800\800\800\800\800\800\800\800\800,850\850\850\850\850\850\850\850\850,1500\1500\1500\1500\1500\1500\1500\1500\1500,750\750\750\750\750\750\750\750\750,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5783\6309\0\0\0\0\0\0\0,5783\6309\0\0\0\0\0\0\0,5783\6309\0\0\0\0\0\0\0,5783\6309\0\0\0\0\0\0\0,5783\6309\0\0\0\0\0\0\0,5783\6309\0\0\0\0\0\0\0,5783\6309\0\0\0\0\0\0\0,5783\6309\0\0\0\0\0\0\0,5783\6309\0\0\0\0\0\0\0
