Hotel name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(08th Aug to 30th Sep),Season2 (01st Oct to 24th Oct),Season3 (25th Oct to 10th Nov),Season4 (11th Nov to 19th Dec),Season5 (20th Dec to 23rd Dec),Season6(24th Dec ),Season7(25th Dec to 30th Dec ),Season8 (31st Dec ),Season9 (01st Jan to 10th Jan)
Hotel SeaView,"E Car St, Kanyakumari, Tamil Nadu 629702,Phone: 04652 247 841",10,3STAR,Standard\Deluxe\Suite\Twin Room,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,900\900\900\900\900\900\900\900\900,450\450\450\450\450\450\450\450\450,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2600\2900\4200\5800\0\0\0\0\0,2600\2900\4200\5800\0\0\0\0\0,2600\2900\4200\5800\0\0\0\0\0,2600\2900\4200\5800\0\0\0\0\0,3600\4300\5100\7300\0\0\0\0\0,3600\4300\5100\7300\0\0\0\0\0,3600\4300\5100\7300\0\0\0\0\0\0,3600\4300\5100\7300\0\0\0\0\0,3600\4300\5100\7300\0\0\0\0\0
Hotel Sea Face,"1/4,South Car Street, Kanyakumari, Tamil Nadu 627702,Phone: 097876 66966",10,3STAR,Standard\Deluxe,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,800\800\800\800\800\800\800\800\800,800\800\800\800\800\800\800\800\800,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2400\0\0\0\0\0\0\0,2000\2400\0\0\0\0\0\0\0,2000\2400\0\0\0\0\0\0\0,2000\2400\0\0\0\0\0\0\0,2800\3500\0\0\0\0\0\0\0,2800\3500\0\0\0\0\0\0\0,2800\3500\0\0\0\0\0\0\0,2800\3500\0\0\0\0\0\0\0,2800\3500\0\0\0\0\0\0\0
Hotel Sun World,"6/81-B, Kovalam Road, Kanyakumari, Tamil Nadu 629702,Phone: 04652 247 899",10,2STAR,A/c Room\Sea Facing,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,850\850\850\850\850\850\850\850\850,850\850\850\850\850\850\850\850\850,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0
Hotel Singaar International,"5/22, Main Road, Kanyakumari, Tamil Nadu 629702,Phone: 04652 247 992",10,3STAR,Standard\Deluxe\Luxury\Super Deluxe\Suite Standard\Suite Deluxe,375\375\375\375\375\375\375\375\375,375\375\375\375\375\375\375\375\375,1075\1075\1075\1075\1075\1075\1075\1075\1075,1075\1075\1075\1075\1075\1075\1075\1075\1075,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2750\3250\3750\4450\4750\5750\0\0\0,2750\3250\3750\4450\4750\5750\0\0\0,2750\3250\3750\4450\4750\5750\0\0\0,2750\3250\3750\4450\4750\5750\0\0\0,3250\3750\4250\4950\5250\6250\0\0\0,3250\3750\4250\4950\5250\6250\0\0\0,3250\3750\4250\4950\5250\6250\0\0\0,3250\3750\4250\4950\5250\6250\0\0\0,3250\3750\4250\4950\5250\6250\0\0\0
Sparsa,"6/112B, Beach Road, Near Sunset Point, Kanyakumari, Tamil Nadu 629702, Phone:04652 247 041",10,4STAR,Deluxe Ac Room ,700\700\700\700\700\700\700\700\700,700\700\700\700\700\700\700\700\700,1000\1000\1000\1000\2000\1000\2500\1000\1000,1000\1000\1000\1000\2000\1000\2500\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,6700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,7700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
