Hotel name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(08th Aug to 30th Sep),Season2 (01st Oct to 24th Oct),Season3 (25th Oct to 10th Nov),Season4 (11th Nov to 19th Dec),Season5 (20th Dec to 23rd Dec),Season6(24th Dec ),Season7(25th Dec to 30th Dec ),Season8 (31st Dec ),Season9 (01st Jan to 10th Jan)
Porcupine Castle,"Porcupine Castle Resort Road, Hanchikad,, Pollibetta, Karnataka 571215 Phone: 082742 51088",65,3STAR,Tree house luxury\Tree house premium\Mountain view chelet Cottage\Valley view Challet cottage,600\600\600\600\600\600\600\600\600,600\600\600\600\600\600\600\600\600,1500\1500\1500\1500\1500\1500\1500\1500\1500,800\800\800\800\800\800\800\800\800,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6292\7260\6292\7260\0\0\0\0\0,6292\7260\6292\7260\0\0\0\0\0,6292\7260\6292\7260\0\0\0\0\0,6292\7260\6292\7260\0\0\0\0\0,10648\12584\10648\12584\0\0\0\0\0,10648\12584\10648\12584\0\0\0\0\0,10648\12584\10648\12584\0\0\0\0\0,12584\14520\12584\14520\0\0\0\0\0,10648\12584\10648\12584\0\0\0\0\0
Royal Orchid Metropole,"51/5, JLB Road, Chamarajapuram Mohalla, Lakshmipuram, Mysuru, Karnataka 575005 Phone: 0821 525 5566",72,4STAR,Royal wing\Heritage Room\Maharaja Suite,800\800\800\800\800\800\800\800\800,900\900\900\900\900\900\900\900\900,1200\1200\1500\1500\1500\1500\1500\1500\1200,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4000\4500\9250\0\0\0\0\0\0,4000\4500\9250\0\0\0\0\0\0,4000\4500\9250\0\0\0\0\0\0,4000\4500\9250\0\0\0\0\0\0,8000\9000\0\0\0\0\0\0\0,8000\9000\0\0\0\0\0\0\0,8000\9000\0\0\0\0\0\0\0,8000\9000\0\0\0\0\0\0\0,8000\9000\0\0\0\0\0\0\0
Crystal park inn,"No. 2, Nazarbad Main Road, Opp. Park, Nazarbad, Mysuru, Karnataka 570010  Phone: 0821 400 0050",72,3STAR,Comfort Room\Park view Room\Queens Suite Room \King Suite Room ,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,900\900\900\900\900\900\900\900\900,900\900\900\900\900\900\900\900\900,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3000\3500\4200\5000\0\0\0\0\0,3000\3500\4200\5000\0\0\0\0\0,3000\3500\4200\5000\0\0\0\0\0,3000\3500\4200\5000\0\0\0\0\0,3000\3500\4200\5000\0\0\0\0\0,3000\3500\4200\5000\0\0\0\0\0,3000\3500\4200\5000\0\0\0\0\0,3000\3500\4200\5000\0\0\0\0\0,3000\3500\4200\5000\0\0\0\0\0
Pai vista Hotel,"35/A, Bangalore-Nilgiri Road, Doora, Mysore, Karnataka 570001, Phone:099456 15420",72,3STAR,Comfort Ac Room\Luxury Ac Room\Club Suite Ac Room,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,968\968\968\968\968\968\968\968\968,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3600\4500\5400\0\0\0\0\0\0,3600\4500\5400\0\0\0\0\0\0,3600\4500\5400\0\0\0\0\0\0,3600\4500\5400\0\0\0\0\0\0,3600\4500\5400\0\0\0\0\0\0,3600\4500\5400\0\0\0\0\0\0,3600\4500\5400\0\0\0\0\0\0,3600\4500\5400\0\0\0\0\0\0,3600\4500\5400\0\0\0\0\0\0
Royal Orchid Brindavan garden,"Brindavan Garden, Krishna Raja Sagar,, Mysore, Karnataka 571607 099458 15566",72,4STAR,Queen Room\King Room,850\850\850\850\850\850\850\850\850,950\950\950\950\950\950\950\950\950,1200\1200\1500\1500\3500\1500\4500\1500\1200,600\600\600\600\2600\600\3600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5500\6500\0\0\0\0\0\0\0,5500\6500\0\0\0\0\0\0\0,5500\6500\0\0\0\0\0\0\0,5500\6500\0\0\0\0\0\0\0,8000\9000\0\0\0\0\0\0\0,12000\13000\0\0\0\0\0\0\0,8000\9000\0\0\0\0\0\0\0,14000\15000\0\0\0\0\0\0\0,8000\9000\0\0\0\0\0\0\0
The Viceroy,"Sri Harsha Rd, Lashkar Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001 Phone: 0821 242 4001",72,3STAR,Executive\Executive premier\Executive Suite\Viceroy Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2500\3500\4500\0\0\0\0\0,2000\2500\3500\4500\0\0\0\0\0,2000\2500\3500\4500\0\0\0\0\0,2000\2500\3500\4500\0\0\0\0\0,2000\2500\3500\4500\0\0\0\0\0,2000\2500\3500\4500\0\0\0\0\0,2000\2500\3500\4500\0\0\0\0\0,2000\2500\3500\4500\0\0\0\0\0,2000\2500\3500\4500\0\0\0\0\0
Hotel Fortune Vallabha,"515-516, Rd Number 12, Banjara Hills, Hyderabad, Telangana 500034 Phone: 040 3988 4444",41,4STAR,Standard Double,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6250\0\0\0\0\0\0\0\0,6250\0\0\0\0\0\0\0\0,6250\0\0\0\0\0\0\0\0,6250\0\0\0\0\0\0\0\0,6250\0\0\0\0\0\0\0\0,6250\0\0\0\0\0\0\0\0,6250\0\0\0\0\0\0\0\0,6250\0\0\0\0\0\0\0\0,6250\0\0\0\0\0\0\0\0
Hoel Marie Gold,"Greenlands, Begumpet, Hyderabad, Telangana 500016 Phone: 040 6736 3636",41,4STAR,Standard Double,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5900\0\0\0\0\0\0\0\0,5900\0\0\0\0\0\0\0\0,5900\0\0\0\0\0\0\0\0,5900\0\0\0\0\0\0\0\0,5900\0\0\0\0\0\0\0\0,5900\0\0\0\0\0\0\0\0,5900\0\0\0\0\0\0\0\0,5900\0\0\0\0\0\0\0\0,5900\0\0\0\0\0\0\0\0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
