Hotel name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(08th Aug to 30th Sep),Season2 (01st Oct to 24th Oct),Season3 (25th Oct to 10th Nov),Season4 (11th Nov to 19th Dec),Season5 (20th Dec to 23rd Dec),Season6(24th Dec ),Season7(25th Dec to 30th Dec ),Season8 (31st Dec ),Season9 (01st Jan to 10th Jan)
Fortune Kences,"Tirupati Road, Opposite Apsrtc Bus Terminal, Tirupati, Andhra Pradesh 517501, Phone:0877 225 5855",80,3STAR,Standard Ac Room\Fortune Club Room,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,800\800\800\800\800\800\800\800\800,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3500\4500\0\0\0\0\0\0\0,3500\4500\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0,2800\3800\0\0\0\0\0\0\0
Raj park Hotel,"18-1-5/4, National Highway 205, T.T.D By Pass Road, Near Nandhi Circle, Ramchandra Nagar, Tirupati, Andhra Pradesh 517501, Phone:0877 222 3666",80,2STAR,Superior Ac Room\Executive Ac Room,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,700\700\700\700\700\700\700\700\700,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0,2200\0\0\0\0\0\0\0\0
Fortune select grand ridge,"Shilparamam, Tiruchanoor Road, Tirupati, Andhra Pradesh 517501 Phone: 0877 222 1818",80,4STAR,Standard Room\Fortune Club Room,800\800\800\800\800\800\800\800\800,900\900\900\900\900\900\900\900\900,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0,4000\5500\0\0\0\0\0\0\0
pai Viceroy,"18-1-5/6,18th Ward, Tirumala Bypass Road, Near Kapila Teertham, Ramachandra Nagar, Tirupathi, Andhra Pradesh 517501 Phone: 0877 227 5777",80,3STAR,Superior\Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,847\847\847\847\847\847\847\847\847,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0,2800\3900\0\0\0\0\0\0\0
Kandy plr hotel,"Chittoor, Andhra Pradesh 517505, Phone:0877 227 6686",80,2STAR,Standard Ac Room\Club Ac Room\Suite Room ,250\250\250\250\250\250\250\250\250,250\250\250\250\250\250\250\250\250,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0,1500\1900\3500\0\0\0\0\0\0\0
Marasa sarovar premiere hotel,"Upadyaya Nagar,Karakambadi Road, Tirupati, Andhra Pradesh 517507, Phone:076600 06563",80,3STAR,Deluxe,600\600\600\600\600\600\600\600\600,700\700\700\700\700\700\700\700\700,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0
Hoysala village resort,"Survey No. 357, 1/2, Belur Road, Handinkere Village, JH Kere PO, Hassan, Karnataka 573217  Phone: 080 2234 0166",80,3STAR,Superior\Suite\Jacuzzi villa,600\600\600\600\600\600\600\600\600,650\650\650\650\650\650\650\650\650,1650\1650\1650\1650\1650\1650\1650\1650\1650,1650\1650\1650\1650\1650\1650\1650\1650\1650,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
